172056 169704 278110 138610 142795 143499 142093 179002 141021 142776 
265333 279926 321072 329501 263055 260203 322870 321520 278594 341813 
498499 698705 500336 498870 496186 495910 502580 495487 497219 514407 
987352 954872 950879 945978 971913 1231191 976764 1186579 966853 1181370 
1865778 1827166 1846194 1882963 1746280 1517351 1569571 2060955 1714131 1838528 
5786095 5085410 5606495 5324126 5766525 5062413 5170273 5578232 5047297 5223595 
8488618 9903937 9901561 8549266 9159547 8471580 10301722 9300685 9214110 8639675 
14877512 15160546 15760035 14633858 15262472 15238293 14900066 15222736 15457952 15565807 
26714425 25931473 26334022 26928466 26396595 25010021 26291385 26941593 26156841 27301890 
