202259 199167 321426 159111 160537 160148 163463 212388 160333 160833 
303000 308186 377834 387241 300667 299851 368926 371278 302315 385128 
567408 784371 573667 572981 566315 566908 580742 577758 567779 602759 
1161132 1108500 1161539 1100981 1104833 1391796 1137410 1389777 1116611 1438665 
2141886 2140037 2167851 1990093 2002149 1623369 1712816 2190723 1912830 2164262 
7892238 7065730 7557992 7173405 7765630 7247022 7184414 7696058 7005095 7158447 
11507773 13799611 13586393 11648025 13455150 11626320 14054468 13327760 13226399 12079398 
20879080 20972033 21255402 20281803 21527534 20981049 20846588 21040573 21117277 21351157 
36675053 35508308 36243242 35679780 35967684 33607095 36026335 36530639 34943546 36247987 
