114147 107572 148315 88073 84705 86131 87332 111574 85204 85482 
170353 170386 215942 221317 173539 173537 214887 213411 168998 215313 
336224 424838 330336 336369 332289 329448 332329 332612 333631 337337 
676442 663937 714663 667881 659080 831054 666816 821930 660630 819874 
1313439 1324635 1292700 1382869 1177645 1081302 1128665 1323236 1266733 1342097 
3876154 3401782 3874423 3599023 3919234 3466266 3387606 3926552 3408706 3553704 
5648036 6720388 6512472 5742510 6425616 5619873 6971394 6285622 6222072 5902495 
10156500 10206730 10343936 9915023 10695869 10173800 10044530 10197869 10299002 10777264 
18465521 17699365 18025096 18261989 18100857 17083334 18278205 18309807 17870928 18338490 
