57832 54295 67648 42517 43445 43389 42780 55832 43761 44056 
83649 83557 106555 106573 84334 84722 102871 107093 81906 106427 
159869 212629 161368 161851 162815 161871 167168 163793 165648 162425 
326328 321854 315333 322351 326576 402649 324819 399790 324354 401357 
640394 626310 630150 717088 595430 546801 569207 647368 647388 636258 
1678850 1419351 1681847 1495199 1646232 1425793 1450426 1654018 1409945 1538662 
2399765 2743450 2723751 2439590 2517182 2354069 2906480 2581567 2560616 2486579 
4223921 4236853 4333063 4191054 4288470 4296872 4202797 4206655 4371621 4681599 
7937497 7469823 7716593 7953977 7629105 7298652 7450274 7997138 7765496 7663725 
