37890 39758 38260 30557 31240 31130 30537 38240 30499 30964 
55240 58853 69335 71241 55501 57201 69536 70018 56481 69058 
106799 135648 105798 106166 105705 107424 106427 105962 105926 110076 
207627 202666 207037 215372 205297 257757 208228 251592 206615 254518 
398772 404263 401150 506553 404927 388789 405227 409628 448835 401127 
803423 610810 800814 695759 775259 641738 627961 811776 621619 677114 
1057180 1182658 1139098 1048698 1059066 997867 1296924 1019264 1131527 1024952 
1818068 1812507 1823917 1781357 1908792 1842703 1810036 1776858 1884139 2097838 
3679335 3330081 3531583 3725822 3508692 3413289 3416745 3654442 3385413 3583377 
