14889 15981 15259 12408 12759 12185 12333 17333 12537 13093 
20759 20093 25111 24426 20481 20741 25760 25500 19314 27481 
36851 52333 36333 36407 37354 35408 36647 35166 36666 36315 
68611 70185 67945 66091 67759 83761 68962 86368 68038 86298 
130480 127164 127409 159276 138034 121943 125241 118944 141871 130409 
229518 198929 230352 217813 251777 185963 201478 249592 179001 199446 
299170 330112 359447 444389 286166 323760 393112 308110 316457 320983 
601928 574747 562561 531796 566774 637466 569755 544507 572349 571848 
1044060 1042607 991474 1132038 998991 919682 1007455 1110793 1048495 994708 
