58222 60537 57833 48093 48074 50130 49871 58481 48963 86278 
79574 75944 89611 90889 73667 74963 87351 89407 73834 89278 
141574 152870 179538 139295 155518 136315 141425 116610 121409 125223 
216794 207686 208705 229388 206629 251741 266111 258483 209334 257131 
431316 374777 375111 514110 421277 438909 419112 368685 413963 374906 
729053 566152 707077 618997 716648 587062 572887 723685 561998 616704 
959945 1035114 1047782 941460 892335 927346 1103981 875590 906558 919406 
1592007 1565941 1604426 1567108 1544180 1576372 1535896 1545814 1575061 1765683 
3005067 2798294 2918380 3058888 2876157 2804701 2814329 3048895 2844732 3104254 
