657295 647014 926851 519369 523555 526612 528409 672850 522318 563482 
977908 996945 1205460 1231188 971244 971218 1192201 1198227 981442 1234498 
1847224 2461394 1887376 1851939 1856182 1833284 1867318 1827388 1828278 1888542 
3644286 3529700 3626101 3548042 3542087 4449949 3649110 4394519 3552435 4439213 
6922065 6824352 6840565 7152952 6485742 5718464 5929839 7119539 6545751 6887587 
20995331 18348164 20459000 19124322 20841305 18616257 18595045 20639913 18233661 18967672 
30360487 35715270 35270504 30813938 33795062 30320815 37028081 33698598 33577739 31373488 
54149016 54529357 55683340 52901999 55794091 54746555 53909668 54535012 55277401 56811196 
97520958 93779951 95760390 96740960 95478081 90136774 95284728 97593307 94015451 97234431 
