107834 86851 109295 86166 85353 106591 87854 86592 85757 85093 
210372 166888 173481 168171 190111 216225 210652 190076 170927 170519 
332480 331257 335778 356994 331796 331766 370538 334262 332892 420144 
713797 733547 794527 707111 653472 704575 733462 711552 835313 665814 
1455437 1265945 1024037 1311175 1308548 1271528 1303772 1109659 1305711 1326943 
3477903 3392586 3975575 3249789 3297166 3848106 3428536 3711792 3552443 3884991 
6399590 5915078 6721405 5615640 6346935 6936569 6634490 6011894 6315503 6275675 
10125993 10379905 9700050 11061745 10540353 10103250 10031321 9842567 10075663 10362871 
18114958 18459338 17730302 17846848 17608335 17634472 18143842 17825159 18670595 18502007 
