37649 31260 37981 30056 30611 43131 30609 30873 29405 31204 
68427 58702 56220 55684 70221 70278 70797 77075 55481 55332 
106538 105409 103777 131405 109593 146682 135463 107461 107650 134168 
258002 202262 257723 259093 205369 258170 205202 263481 255222 206523 
504984 458955 328520 393788 392359 471906 392387 397335 404702 417445 
628480 635422 828170 629605 680208 779153 634065 706816 646283 818175 
1057278 1042580 1247479 1042835 1050752 1288722 1046094 1058032 1084021 1021274 
1916663 1810209 1749949 2046083 1959951 1815889 1825749 1832031 1814156 1843433 
3350007 3676692 3402334 3495785 3298621 3456764 3679397 3436838 3508548 3609420 
