60611 50426 59037 49055 85889 58445 48463 47648 49445 85278 
89944 110204 80741 75037 98592 91777 90407 99056 75963 73185 
126334 116462 122574 146925 130908 121389 152204 114463 122425 159240 
259037 231444 308184 274480 251981 311166 259280 299334 258945 206464 
452165 481166 328703 374460 392573 437593 374650 380278 376871 385427 
605929 563595 687372 595685 643021 704124 591503 669334 587258 686595 
888907 900206 1033938 957151 919147 1093579 913750 951431 919571 889421 
1551359 1526916 1468421 1800779 1682312 1525310 1548752 1581500 1565166 1589634 
3021252 3247271 2818293 2778002 2853377 2831099 3075456 2840041 2816477 3026075 
