180592 141854 175278 137296 140537 177630 138109 140646 136480 141483 
332816 271240 286351 368722 287924 334870 329074 312905 264721 258187 
500000 493790 494444 508536 499000 496795 549997 506236 500557 623981 
983057 954392 1184522 987279 981390 985262 956932 1022684 1270230 956774 
1882967 1746768 1447983 1898678 1866792 1869600 1846801 1539133 1860992 1853782 
5035842 5034217 5644211 4941914 5094730 5638381 5278939 5656424 5091046 5577360 
9236075 8679311 9776318 8068527 9428239 10175080 9222933 9006630 9276121 9527492 
14636397 15234989 14249022 15855758 16015153 14764581 14672561 14582350 15432828 15396048 
26797177 27377606 25870625 25451052 25988182 26026009 26105919 26507421 27080942 27172505 
