55203 42979 92741 41888 43574 54500 43498 43908 42555 42833 
103222 85741 87241 83554 97167 105592 105907 100850 83944 82332 
165836 161815 161262 187183 166537 160373 190317 162722 164427 205053 
352573 321259 397018 362242 335627 361849 317053 355870 413667 325502 
709107 709400 507116 628390 630589 650328 632408 571758 645410 634225 
1453247 1423082 1668000 1351254 1442021 1648206 1451071 1590429 1463688 1699246 
2502152 2478107 3018246 2272275 2655850 2972734 2523908 2457595 2579859 2588684 
4093494 4344072 3972445 4522356 4559197 4198383 4080569 4155416 4210122 4310047 
7477206 8155036 7665248 7372945 7390925 7557574 7677809 7547899 7670943 7835971 
