668741 524389 688480 515145 562965 652981 519644 523777 513809 557223 
1204058 1021884 1012775 1077723 1085904 1302094 1213096 1127147 969054 964148 
1845226 1816750 1833242 1919505 1850609 1869393 1996037 1849941 1843302 2305680 
3685059 3617866 4371843 3717149 3618416 3737912 3640464 3779773 4525915 3533801 
7167993 6664270 5509228 6907469 6860916 6749233 6922865 5824961 6905708 6904395 
18513926 18426690 20692460 17625284 18017192 20496720 18819292 20216498 18625810 20541477 
33724475 31637246 35979761 29553944 34205614 36824483 34173953 32324293 33873290 34013304 
53059660 55386516 51742784 57452536 56848769 53244645 53614627 52590806 54461227 55321009 
95898955 98275992 93799654 92978627 93615254 93903319 94506424 95283242 98069307 97259730 
