211889 158667 198555 159240 163983 197592 159685 161759 158963 158536 
373777 307554 308037 305685 315870 459630 379907 319871 297536 304223 
577927 571721 578204 543092 575683 575926 552240 589816 578315 716704 
1034166 1103628 1345684 1044091 1120501 1033889 1101167 1042685 1402926 1104522 
2015073 1867668 1766111 2170089 2142648 1915054 2241645 1705649 2190390 2153076 
7117226 7188787 7638429 6654738 6652141 7653841 7245351 7656331 7085204 7643740 
13350694 12319451 13845262 11307537 13499494 13968004 13546424 12522143 13401121 13388237 
20157472 21531947 20073473 21606519 21492414 20275158 20895946 20063891 20792698 21239908 
36090322 36232658 35287637 35123675 35461731 35396806 34734317 36120881 37279717 36041824 
