14963 12352 15593 11444 13018 15092 11426 12351 11204 12796 
25500 21555 20704 20870 26019 23722 26352 27314 20482 20370 
36111 36296 37203 45370 37092 36462 45278 34981 37036 46390 
84427 71334 84185 82853 70076 83001 67368 84167 89612 68202 
148260 134368 106758 130889 127407 133224 131202 121149 121632 133497 
195299 189001 250703 202299 207905 224909 189827 225372 199888 231370 
289779 302513 337113 289979 305197 389795 286354 316568 297094 322521 
578282 558478 529424 559296 599389 562074 559729 533051 570594 579068 
1048033 1127391 1025215 910320 1014083 1000595 1089684 1005003 1042085 1071928 
